name,date,dateSeen,numHelpful,rating,text,title
Amazon Fire Tv,2017-09-10 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Makes a great smart home addition as it links to smart thermostats, lights, etc. Very informative and the different add ons are amazing! Highly recommended.",Awesome!
Amazon Fire Tv,2017-09-10 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Quick with fun facts. Great for playing various genres of music rather than searching for radio stations.,Great product
Amazon Fire Tv,2017-09-10 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Works pretty good. Hey Alexa, whats this whats that. I love it.",Works Great
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,This was on sale for an awesome price that I could not pass up. I already have a black one definitely a must buy.,The Echo is the way of the future
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"A friend and my neighbors have Echo Dot. After talking with them, I purchased one and am very pleased with it. Especially, I like being able to listen to my favorite local radio stations, as well as Sirius/XM. The sound quality is excellent.",Echo Dot
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,Got a great deal. I don't think I'd spend more than $100 on it. Works well with xm though.,Nice
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,We have one at home to we thought it would be fun to have at the office to place music. However you can only stream 1 Alexa per music account which is annoying. They should have a subscription package like Netflix that allows more then one device to stream for a higher cost per month if needed.,Second one for the Office
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I love the fact that I can play my favorite music and ask anything from silly questions to definitions of things,Great for instant music and information
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"She's tall and smart! She's sensible. Soft spoken but firm. She can answer (most) questions without a hesitation! She's all fact! She hears well. She has a good ""lung"" when we want her to sing loud! She can tell jokes -- not ""ha ha, too funny"", but good enough! Amazon Prime/music plays a big part of her -- another word she'd mostly be muted if we don't play music from Alexa (she sings for the dog too when we leave home). Like it that can ask her to play songs of the year, i.e. 1969 vs. by category or musicians. Glad brought her home! Fun with her around! She was on a one-day sale at BBY when I paid for her, so it's all good! I don't believe in paying full price, even for something as smart as Alexa!",Love Alexa!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,3.0,Alexa functions until yopu attempt to connect to multiple devices. Then technical suppprt is WORTHLESS!,"Unable to get reliable, understandable technical"
